"Year","Epoch","Season","Scenario","Value"
2055,"Future","Autumn","RCP6",1.886
2055,"Future","Autumn","RCP8.5",2.48
2055,"Future","Spring","RCP2.6",2.316
2055,"Future","Spring","RCP4.5",3.03
2055,"Future","Spring","RCP6",1.32
2055,"Future","Spring","RCP8.5",2.622
2055,"Future","Summer","RCP2.6",1.75
2055,"Future","Summer","RCP4.5",2.984
2055,"Future","Summer","RCP6",2.028
2055,"Future","Summer","RCP8.5",2.834
2055,"Future","Winter","RCP2.6",2.462
2055,"Future","Winter","RCP4.5",2.906
2055,"Future","Winter","RCP6",1.87
2055,"Future","Winter","RCP8.5",2.554
2060,"Future","Annual","RCP2.6",1.34
2060,"Future","Annual","RCP4.5",1.722
2060,"Future","Annual","RCP6",1.732
2060,"Future","Annual","RCP8.5",2.622
2060,"Future","Autumn","RCP2.6",1.308
2060,"Future","Autumn","RCP4.5",0.944
2060,"Future","Autumn","RCP6",1.75
2060,"Future","Autumn","RCP8.5",2.022
2060,"Future","Spring","RCP2.6",1.004
2060,"Future","Spring","RCP4.5",1.924
2060,"Future","Spring","RCP6",1.638
2060,"Future","Spring","RCP8.5",2.93
2060,"Future","Summer","RCP2.6",1.148
2060,"Future","Summer","RCP4.5",1.6
2060,"Future","Summer","RCP6",1.876
2060,"Future","Summer","RCP8.5",3.062
2060,"Future","Winter","RCP2.6",2.116
2060,"Future","Winter","RCP4.5",2.606
2060,"Future","Winter","RCP6",1.72
2060,"Future","Winter","RCP8.5",2.572
2065,"Future","Annual","RCP2.6",1.07
2065,"Future","Annual","RCP4.5",2.786
2065,"Future","Annual","RCP6",2.644
2065,"Future","Annual","RCP8.5",3.244
2065,"Future","Autumn","RCP2.6",1.646
2065,"Future","Autumn","RCP4.5",2.356
2065,"Future","Autumn","RCP6",3.158
2065,"Future","Autumn","RCP8.5",3.14
2065,"Future","Spring","RCP2.6",0.988
2065,"Future","Spring","RCP4.5",2.73
2065,"Future","Spring","RCP6",2.174
2065,"Future","Spring","RCP8.5",2.92
2065,"Future","Summer","RCP2.6",0.608
2065,"Future","Summer","RCP4.5",2.188
2065,"Future","Summer","RCP6",2.572
2065,"Future","Summer","RCP8.5",4.012
2065,"Future","Winter","RCP2.6",1.236
2065,"Future","Winter","RCP4.5",3.672
2065,"Future","Winter","RCP6",2.8
2065,"Future","Winter","RCP8.5",2.9
2070,"Future","Annual","RCP2.6",0.556
2070,"Future","Annual","RCP4.5",2.636
2070,"Future","Annual","RCP6",2.05
2070,"Future","Annual","RCP8.5",3.136
2070,"Future","Autumn","RCP2.6",0.462
2070,"Future","Autumn","RCP4.5",2.162
2070,"Future","Autumn","RCP6",2.396
2070,"Future","Autumn","RCP8.5",3.706
2070,"Future","Spring","RCP2.6",0.344
2070,"Future","Spring","RCP4.5",2.684
2070,"Future","Spring","RCP6",1.108
2070,"Future","Spring","RCP8.5",3.694
2070,"Future","Summer","RCP2.6",0.822
2070,"Future","Summer","RCP4.5",2.712
2070,"Future","Summer","RCP6",2.636
2070,"Future","Summer","RCP8.5",2.9
2070,"Future","Winter","RCP2.6",0.358
2070,"Future","Winter","RCP4.5",3.26
2070,"Future","Winter","RCP6",1.942
2070,"Future","Winter","RCP8.5",2.218
2075,"Future","Annual","RCP2.6",0.74
2075,"Future","Annual","RCP4.5",1.784
2075,"Future","Annual","RCP6",2.1
2075,"Future","Annual","RCP8.5",4.398
2075,"Future","Autumn","RCP2.6",1.204
2075,"Future","Autumn","RCP4.5",2.274
2075,"Future","Autumn","RCP6",2.064
2075,"Future","Autumn","RCP8.5",3.64
2075,"Future","Spring","RCP2.6",0.91
2075,"Future","Spring","RCP4.5",2.28
2075,"Future","Spring","RCP6",1.362
2075,"Future","Spring","RCP8.5",4.758
2075,"Future","Summer","RCP2.6",-0.204
2075,"Future","Summer","RCP4.5",1.644
2075,"Future","Summer","RCP6",2.25
2075,"Future","Summer","RCP8.5",4.376
2075,"Future","Winter","RCP2.6",1.062
2075,"Future","Winter","RCP4.5",0.818
2075,"Future","Winter","RCP6",2.562
2075,"Future","Winter","RCP8.5",5
2080,"Future","Annual","RCP2.6",1.208
2080,"Future","Annual","RCP4.5",2.25
2080,"Future","Annual","RCP6",2.512
2080,"Future","Annual","RCP8.5",3.844
2080,"Future","Autumn","RCP2.6",1.532
2080,"Future","Autumn","RCP4.5",2.246
2080,"Future","Autumn","RCP6",2.29
2080,"Future","Autumn","RCP8.5",3.752
2080,"Future","Spring","RCP2.6",1.188
2080,"Future","Spring","RCP4.5",2.42
2080,"Future","Spring","RCP6",2.094
2080,"Future","Spring","RCP8.5",3.7
2080,"Future","Summer","RCP2.6",0.61
2080,"Future","Summer","RCP4.5",2.892
2080,"Future","Summer","RCP6",2.956
2080,"Future","Summer","RCP8.5",4.812
2080,"Future","Winter","RCP2.6",1.772
2080,"Future","Winter","RCP4.5",1.818
2080,"Future","Winter","RCP6",2.542
2080,"Future","Winter","RCP8.5",2.834
2085,"Future","Annual","RCP2.6",0.7
2085,"Future","Annual","RCP4.5",2.142
2085,"Future","Annual","RCP6",2.822
2085,"Future","Annual","RCP8.5",4.514
2085,"Future","Autumn","RCP2.6",0.64
2085,"Future","Autumn","RCP4.5",2.326
2085,"Future","Autumn","RCP6",3.108
2085,"Future","Autumn","RCP8.5",3.414
2085,"Future","Spring","RCP2.6",0.876
2085,"Future","Spring","RCP4.5",2.32
2085,"Future","Spring","RCP6",2.004
2085,"Future","Spring","RCP8.5",4.05
2085,"Future","Summer","RCP2.6",0.59
2085,"Future","Summer","RCP4.5",1.852
2085,"Future","Summer","RCP6",3.386
2085,"Future","Summer","RCP8.5",5.944
2085,"Future","Winter","RCP2.6",0.552
2085,"Future","Winter","RCP4.5",1.73
2085,"Future","Winter","RCP6",3.16
2085,"Future","Winter","RCP8.5",4.378
2090,"Future","Annual","RCP2.6",1.284
2090,"Future","Annual","RCP4.5",2.988
2090,"Future","Annual","RCP6",3.264
2090,"Future","Annual","RCP8.5",4.612
2090,"Future","Autumn","RCP2.6",1.844
2090,"Future","Autumn","RCP4.5",3.044
2090,"Future","Autumn","RCP6",2.828
2090,"Future","Autumn","RCP8.5",4.434
2090,"Future","Spring","RCP2.6",0.778
2090,"Future","Spring","RCP4.5",2.786
2090,"Future","Spring","RCP6",2.85
2090,"Future","Spring","RCP8.5",4.696
2090,"Future","Summer","RCP2.6",0.758
2090,"Future","Summer","RCP4.5",2.554
2090,"Future","Summer","RCP6",4.198
2090,"Future","Summer","RCP8.5",4.798
2090,"Future","Winter","RCP2.6",1.622
2090,"Future","Winter","RCP4.5",3.48
2090,"Future","Winter","RCP6",3.106
2090,"Future","Winter","RCP8.5",4.73
2095,"Future","Annual","RCP2.6",1.432
2095,"Future","Annual","RCP4.5",2.794
2095,"Future","Annual","RCP6",3.54
2095,"Future","Annual","RCP8.5",5.052
2095,"Future","Autumn","RCP2.6",1.266
2095,"Future","Autumn","RCP4.5",2.562
2095,"Future","Autumn","RCP6",2.584
2095,"Future","Autumn","RCP8.5",4.13
2095,"Future","Spring","RCP2.6",1.184
2095,"Future","Spring","RCP4.5",3.062
2095,"Future","Spring","RCP6",3.998
2095,"Future","Spring","RCP8.5",4.888
2095,"Future","Summer","RCP2.6",0.734
2095,"Future","Summer","RCP4.5",2.444
2095,"Future","Summer","RCP6",3.742
2095,"Future","Summer","RCP8.5",5.042
2095,"Future","Winter","RCP2.6",2.47
2095,"Future","Winter","RCP4.5",3.122
2095,"Future","Winter","RCP6",3.778
2095,"Future","Winter","RCP8.5",6.386
